passageId,title,gradeLevel,wordCount,paragraphCount,uniqueParagraphCount,repeatedParagraphCount,sentenceCount,uniqueSentenceCount,repeatedSentenceCount,uniqueSentenceRatio,repeatedBlocks,result,severity
literary,The Last Bell Before the Storm,3,560,25,10,15,45,15,30,0.3333,,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,3,769,50,13,37,48,11,37,0.2292,2x:they hold water after heavy rain plants in a wetland | 2x:slow the water and that gives dirt time to settle | 2x:before it reaches a creek the passage uses headings to | 2x:show how wetlands filter water and help solve runoff problems | 2x:words such as sediment and habitat are science terms but | 2x:the surrounding sentences help explain what they mean these details | 2x:support the main idea that wetlands protect both water and | 2x:living things wetlands work like natural sponges because they hold | 2x:water after heavy rain plants in a wetland slow the | 2x:water and that gives dirt time to settle before it | 2x:reaches a creek the passage uses headings to show how | 2x:wetlands filter water and help solve runoff problems words such | 2x:as sediment and habitat are science terms but the surrounding | 2x:sentences help explain what they mean these details support the | 2x:main idea that wetlands protect both water and living things | 2x:wetlands work like natural sponges because ,FAIL,BLOCKER
paired,Two Views of a Community Garden,3,860,46,10,36,46,10,36,0.2174,3x:the first text the class watches small changes each week | 3x:and learns that careful records help the garden grow in | 3x:the second text neighbors use facts before choosing what to | 3x:do with the empty lot both texts show that people | 3x:can improve a place when they listen to one another | 3x:and use evidence the two texts are different because one | 3x:is told through a student s experience while the other | 3x:explains a community decision in the first text the class | 3x:watches small changes each week and learns that careful records | 2x:help the garden grow in the second text neighbors use | 2x:facts before choosing what to do with the empty lot | 2x:both texts show that people can improve a place when | 2x:they listen to one another and use evidence the two | 2x:texts are different because one is told through a student | 2x:s experience while the other explains a community decision in | 3x:class watches small changes each week and learns that careful | 3x:records help th,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,3,772,51,12,39,48,9,39,0.1875,2x:each design saved water in a different way the rain | 2x:barrel saved the most water but it also had a | 2x:problem during storms students used the numbers in the chart | 2x:to talk about which solution would help the garden most,FAIL,BLOCKER
literary,The Last Bell Before the Storm,4,701,31,10,21,57,15,42,0.2632,2x:her group each sign showed one plant one fact and | 2x:one question visitors could answer as they walked through the,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,4,862,56,13,43,54,11,43,0.2037,2x:they hold water after heavy rain plants in a wetland | 2x:slow the water and that gives dirt time to settle | 2x:before it reaches a creek the passage uses headings to | 2x:show how wetlands filter water and help solve runoff problems | 2x:words such as sediment and habitat are science terms but | 2x:the surrounding sentences help explain what they mean these details | 2x:support the main idea that wetlands protect both water and | 2x:living things wetlands work like natural sponges because they hold | 2x:water after heavy rain plants in a wetland slow the | 2x:water and that gives dirt time to settle before it | 2x:reaches a creek the passage uses headings to show how | 2x:wetlands filter water and help solve runoff problems words such | 2x:as sediment and habitat are science terms but the surrounding | 2x:sentences help explain what they mean these details support the | 2x:main idea that wetlands protect both water and living things | 2x:wetlands work like natural sponges because ,FAIL,BLOCKER
paired,Two Views of a Community Garden,4,950,51,10,41,51,10,41,0.1961,6x:the first text the class watches small changes each week | 6x:and learns that careful records help the garden grow in | 6x:the second text neighbors use facts before choosing what to | 6x:do with the empty lot both texts show that people | 6x:can improve a place when they listen to one another | 6x:and use evidence the two texts are different because one | 6x:is told through a student s experience while the other | 6x:explains a community decision in the first text the class | 6x:watches small changes each week and learns that careful records | 6x:help the garden grow in the second text neighbors use | 6x:facts before choosing what to do with the empty lot | 5x:both texts show that people can improve a place when | 4x:they listen to one another and use evidence the two | 4x:texts are different because one is told through a student | 4x:s experience while the other explains a community decision in,FAIL,BLOCKER
table,Designing a Water-Smart Schoolyard,4,915,60,12,48,57,9,48,0.1579,2x:each design saved water in a different way the rain | 2x:barrel saved the most water but it also had a | 2x:problem during storms students used the numbers in the chart | 2x:to talk about which solution would help the garden most | 2x:the best plan used more than one idea because each | 2x:design had a strength and a challenge the chart helps | 2x:readers see that each design saved water in a different | 2x:way the rain barrel saved the most water but it | 2x:also had a problem during storms students used the numbers | 2x:in the chart to talk about which solution would help | 2x:the garden most the best plan used more than one | 2x:idea because each design had a strength and a challenge | 2x:the chart helps readers see that each design saved water | 2x:in a different way the rain barrel saved the most | 2x:water but it also had a problem during storms students | 2x:used the numbers in the chart to talk about which | 2x:solution would help the garden most the best plan used | 2x:more,FAIL,BLOCKER
literary,The Last Bell Before the Storm,5,902,40,10,30,75,15,60,0.2,2x:her group each sign showed one plant one fact and | 2x:one question visitors could answer as they walked through the | 2x:garden we should get help malik said nora nodded because | 2x:the wind was stronger than she had expected the courtyard | 2x:looked different under the gray sky paper scraps rolled across | 2x:the bricks and the garden gate tapped again and again | 2x:nora wanted to solve the problem quickly but she also | 2x:knew rushing could ruin the work she slowed down counted | 2x:the signs and made a safer plan when the signs | 2x:were finally inside malik grinned nora realized that being responsible | 2x:sometimes meant asking someone to work beside you nora remembered | 2x:painting the signs with her group each sign showed one | 2x:plant one fact and one question visitors could answer as | 2x:they walked through the garden we should get help malik | 2x:said nora nodded because the wind was stronger than she | 2x:had expected the courtyard looked different under the gray ,FAIL,BLOCKER
informational,How Wetlands Protect a Watershed,5,1081,70,13,57,68,11,57,0.1618,3x:they hold water after heavy rain plants in a wetland | 3x:slow the water and that gives dirt time to settle | 3x:before it reaches a creek the passage uses headings to | 3x:show how wetlands filter water and help solve runoff problems | 3x:words such as sediment and habitat are science terms but | 3x:the surrounding sentences help explain what they mean these details | 3x:support the main idea that wetlands protect both water and | 3x:living things wetlands work like natural sponges because they hold | 3x:water after heavy rain plants in a wetland slow the | 3x:water and that gives dirt time to settle before it | 3x:reaches a creek the passage uses headings to show how | 3x:wetlands filter water and help solve runoff problems words such | 3x:as sediment and habitat are science terms but the surrounding | 3x:sentences help explain what they mean these details support the | 3x:main idea that wetlands protect both water and living things | 3x:wetlands work like natural sponges because ,FAIL,BLOCKER
