itemId,passageId,gradeLevel,eligibleContent,ruleId,result,severity,evidence,failedChoiceIndices,notes
pssa_item_g3_reading_1,pssa_psg_g3_creek_watchers,3,E03.A-K.1.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_2,pssa_psg_g3_the_map_in_the_station,3,E03.A-K.1.1.2,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_3,pssa_psg_g3_a_cooler_lunch_line,3,E03.A-K.1.1.3,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_4,pssa_psg_g3_the_mural_plan,3,E03.A-C.2.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_5,pssa_psg_g3_the_cart_that_would_not_turn,3,E03.A-C.3.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_6,pssa_psg_g3_creek_watchers,3,E03.A-V.4.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_7,pssa_psg_g3_the_map_in_the_station,3,E03.A-V.4.1.2,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_8,pssa_psg_g3_a_cooler_lunch_line,3,E03.B-K.1.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_9,pssa_psg_g3_the_mural_plan,3,E03.B-K.1.1.2,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_10,pssa_psg_g3_the_cart_that_would_not_turn,3,E03.B-K.1.1.3,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_11,pssa_psg_g3_creek_watchers,3,E03.B-C.2.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_12,pssa_psg_g3_the_map_in_the_station,3,E03.B-C.2.1.2,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_13,pssa_psg_g3_a_cooler_lunch_line,3,E03.B-C.3.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_14,pssa_psg_g3_the_mural_plan,3,E03.B-C.3.1.2,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_15,pssa_psg_g3_the_cart_that_would_not_turn,3,E03.B-C.3.1.3,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_16,pssa_psg_g3_creek_watchers,3,E03.B-V.4.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_17,pssa_psg_g3_the_map_in_the_station,3,E03.B-V.4.1.2,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_18,pssa_psg_g3_a_cooler_lunch_line,3,E03.A-K.1.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_19,pssa_psg_g3_the_mural_plan,3,E03.A-K.1.1.2,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_20,pssa_psg_g3_the_cart_that_would_not_turn,3,E03.A-K.1.1.3,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_21,pssa_psg_g3_creek_watchers,3,E03.A-C.2.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_22,pssa_psg_g3_the_map_in_the_station,3,E03.A-C.3.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_23,pssa_psg_g3_a_cooler_lunch_line,3,E03.A-V.4.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_24,pssa_psg_g3_the_mural_plan,3,E03.A-V.4.1.2,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_25,pssa_psg_g3_the_cart_that_would_not_turn,3,E03.B-K.1.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_26,pssa_psg_g3_creek_watchers,3,E03.B-K.1.1.2,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_27,pssa_psg_g3_the_map_in_the_station,3,E03.B-K.1.1.3,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g3_reading_28,pssa_psg_g3_a_cooler_lunch_line,3,E03.B-C.2.1.1,PSSA_MCQ_PASSAGE_SPECIFIC_CHOICES,PASS,INFO,all passage-specificity gates clear,,Passage-linked reading MCQ passed grounding gates.
pssa_item_g4_reading_1,pssa_psg_g4_creek_watchers,4,E04.A-K.1.1.1,PSSA_MCQ_GENERIC_TEST_TAKING_LANGUAGE,FAIL,BLOCKER,\bconnects\s+.+\s+details\s+with\s+a\s+careful\s+plan\b; the opening detail; useful background; \b(opening|middle|ending|first|final|later)\s+(detail|reflection|sentence|paragraph|section)\b; \b(passage|text)\s+(focus|main question|central point)\b; one middle detail; smaller part of the passage's idea; \b(opening|middle|ending|first|final|later)\s+(detail|reflection|sentence|paragraph|section)\b; \b(useful|supporting)\s+(evidence|detail)\b; the ending reflection; the main question being asked; \b(opening|middle|ending|first|final|later)\s+(detail|reflection|sentence|paragraph|section)\b,0|1|1|1|1|2|2|2|2|3|3|3,Choice text contains passage-agnostic template language.
pssa_item_g4_reading_1,pssa_psg_g4_creek_watchers,4,E04.A-K.1.1.1,PSSA_MCQ_GENERIC_STEM_LANGUAGE,FAIL,BLOCKER,addresses this reading focus; \b(applies|addresses)\s+this\s+(reading|vocabulary)\s+focus\b; \bwhich\s+(option|statement|answer)\s+best\s+(addresses|applies|uses)\b,,Stem uses generic test-taking language instead of a passage-specific question.
