source,module,state,subject,grade,standardCode,standardLabel,skill,strand,itemCount,lessonCount
database,PSSA,PA,ELA,3,CC.1.1.3.D,Decode multisyllable words using word parts,Multisyllable Word Parts,Foundational Skills,0,2
database,PSSA,PA,ELA,3,CC.1.1.3.D,Foundational Skills - phonics patterns,Phonics Patterns,Foundational Skills,0,2
database,PSSA,PA,ELA,3,CC.1.1.3.D,Read grade-level words with common vowel patterns,Short and Long Vowel Patterns,Foundational Skills,0,2
database,PSSA,PA,ELA,3,CC.1.1.3.E,Foundational Skills - multisyllabic word reading,Multisyllabic Words,Foundational Skills,0,2
database,PSSA,PA,ELA,3,CC.1.1.3.E,Foundational Skills - common affixes,Common Affixes,Foundational Skills,0,2
database,PSSA,PA,ELA,3,CC.1.2.3.A,Determine main idea and recount key details,Main Idea,Informational,8,2
database,PSSA,PA,ELA,3,CC.1.2.3.B,Make inferences using text evidence,Inference,Informational,11,2
generated,PSSA,PA,ELA,3,CC.1.2.3.B,Reading short-answer response with text-based support,Short Answer Reading Response,Writing,17,0
database,PSSA,PA,ELA,3,CC.1.2.3.B,Ask and answer questions using text evidence,Text Evidence,Informational,0,2
generated,PSSA,PA,ELA,3,CC.1.2.3.C,Analyze text structure and author's craft,Text Structure,Informational,14,0
database,PSSA,PA,ELA,3,CC.1.2.3.C,"Describe relationships between events, ideas, and concepts",Cause and Effect,Informational,0,2
generated,PSSA,PA,ELA,3,CC.1.2.3.D,Determine word meaning and vocabulary,Vocabulary,Informational,8,0
database,PSSA,PA,ELA,3,CC.1.2.3.E,Use text features to locate and interpret information,Text Features,Informational,0,2
database,PSSA,PA,ELA,3,CC.1.2.3.E,Identify author's purpose and point of view clues,Author's Purpose,Informational,0,2
database,PSSA,PA,ELA,3,CC.1.2.3.F,Use word parts to determine meaning,Prefixes and Suffixes,Informational,0,2
database,PSSA,PA,ELA,3,CC.1.2.3.F,Determine word meaning using context,Context Clues,Informational,0,2
database,PSSA,PA,ELA,3,CC.1.2.3.F,Use word relationships to determine meaning,Synonyms and Antonyms,Informational,0,2
database,PSSA,PA,ELA,3,CC.1.2.3.I,Compare and contrast important points and details,Compare and Contrast,Informational,0,2
database,PSSA,PA,ELA,3,CC.1.3.3.A,"Determine theme, message, or lesson",Theme,Literature,1,2
