itemId,gradeLevel,passageId,passageTitle,eligibleContent,ecDescription,ecSkillFamily,questionType,stem,targetWordOrPhrase,observedSkillPattern,expectedSkillPattern,evidenceSpan,stemSkillSignals,skillMatchResult,skillMatchConfidence,mismatchReason,notes,lessonId,sourceId
"ded16ab08a23dc9a:markdown:1","3","63886f0f346e1995","Understanding Main Ideas and Supporting Details passage 1","CC.1.2.3.A","","unknown","MCQ","What is the main idea of the passage about the forest?","","key_ideas_details","unknown","","key_ideas","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:4","3","e792f1aa7f169d31","Understanding Main Ideas and Supporting Details passage 3","CC.1.2.3.A","","unknown","MCQ","What is the main idea of the passage about rainforests?","","key_ideas_details","unknown","","key_ideas","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:8","3","d2ecc8a02e6d4343","Understanding Main Ideas and Supporting Details passage 5","CC.1.2.3.A","","unknown","MCQ","What is the main idea of the passage about the importance of rivers?","","key_ideas_details","unknown","","key_ideas","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:10","3","e792f1aa7f169d31","Understanding Main Ideas and Supporting Details passage 3","CC.1.2.3.A","","unknown","MCQ","What is the main idea of the passage about rainforests?","","key_ideas_details","unknown","","key_ideas","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","ded16ab08a23dc9a","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:1","4","614e63c0dbacfaa7","Understanding Characters Through Actions and Words passage 1","CC.1.3.4.C","","unknown","MCQ","What does the character's action of helping classmates reveal about them?","","literature_elements","unknown","","literary","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:4","4","57bc8bed5dbb1ea5","Understanding Characters Through Actions and Words passage 3","CC.1.3.4.C","","unknown","MCQ","What does the character's decision to stay late reveal about them?","","literature_elements","unknown","","literary","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:8","4","cb80dfef055f5eed","Understanding Characters Through Actions and Words passage 5","CC.1.3.4.C","","unknown","MCQ","What does the character's action of volunteering reveal about them?","","literature_elements","unknown","","literary","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","1bb97100669bfab1","archive-readable-v2-samples"
"1bb97100669bfab1:markdown:10","4","8fec0a0ca25a14fd","Understanding Characters Through Actions and Words passage 6","CC.1.3.4.C","","unknown","MCQ","What does the character's action of helping a neighbor reveal about them?","","literature_elements","unknown","","literary","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","1bb97100669bfab1","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:1","5","c62751841639bb11","Understanding Text Structure and Signal Words passage 1","CC.1.2.5.E","","unknown","MCQ","What is the text structure of the following passage? ""The rain poured down heavily. Consequently, the streets were flooded, and traffic came to a halt.""","The rain poured down heavily. Consequently, the streets were flooded, and traffic came to a halt","craft_structure","unknown","","craft_structure","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:4","5","b7bac5cb344c9336","Understanding Text Structure and Signal Words passage 2","CC.1.2.5.E","","unknown","MCQ","What is the text structure of the following passage? ""The library was quiet. Meanwhile, students were busy reading and taking notes.""","The library was quiet. Meanwhile, students were busy reading and taking notes","vocabulary_context","unknown","","vocabulary|craft_structure|literary","WARN","0.66","Non-vocabulary EC may be attached to a word-meaning or phrase-interpretation item.","Observed skill is vocabulary-context; human review needed.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:8","5","085b8daacf61a968","Understanding Text Structure and Signal Words passage 3","CC.1.2.5.E","","unknown","MCQ","What is the text structure of the following passage? ""The museum offers a variety of exhibits. For instance, there are dinosaur fossils, ancient artifacts, and modern art displays.""","The museum offers a variety of exhibits. For instance, there are dinosaur fossils, ancient artifacts, and modern art displays","craft_structure","unknown","","craft_structure","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","ef09174d99e615f9","archive-readable-v2-samples"
"ef09174d99e615f9:markdown:10","5","e9e91a028ef0245a","Understanding Text Structure and Signal Words passage 4","CC.1.2.5.E","","unknown","MCQ","What is the text structure of the following passage? ""The chef prepared the ingredients. Next, she heated the pan and added oil. Then, she sautéed the vegetables.""","The chef prepared the ingredients. Next, she heated the pan and added oil. Then, she sautéed the vegetables","craft_structure","unknown","","craft_structure","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","ef09174d99e615f9","archive-readable-v2-samples"
"33e15019de7f5340:markdown:4","6","4ad56f5bcfc547e5","Mastering Inference and Text Evidence passage 4","CC.1.3.6.B","","unknown","MCQ","What can you infer about the main character's relationship with their family?","","inference","unknown","","inference|literary","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:7","6","0a06319e95708335","Mastering Inference and Text Evidence passage 7","CC.1.3.6.B","","unknown","MCQ","What can you infer about the setting based on the passage?","","inference","unknown","","inference|literary","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:8","6","cb4f1dafb40b5bcc","Mastering Inference and Text Evidence passage 8","CC.1.3.6.B","","unknown","MCQ","What inference can be made about the character's decision-making process?","","inference","unknown","","inference|literary|informational","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:10","6","d9d4cba3236e5df9","Mastering Inference and Text Evidence passage 10","CC.1.3.6.B","","unknown","MCQ","What inference can be made about the character's priorities?","","inference","unknown","","inference|literary","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","33e15019de7f5340","archive-readable-v2-samples"
"33e15019de7f5340:markdown:12","6","75d9c75287192541","Mastering Inference and Text Evidence passage 12","CC.1.3.6.B","","unknown","MCQ","What inference can be made about the character's leadership style?","","inference","unknown","","inference|literary","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","33e15019de7f5340","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:1","8","44653b2e2fc67df5","Exploring Theme Development in Literature passage 1","CC.1.3.8.A","","unknown","MCQ","What is the central theme of the passage?","","plain_recall","unknown","","plain_recall","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:4","8","9ae79966e5661c92","Exploring Theme Development in Literature passage 2","CC.1.3.8.A","","unknown","MCQ","What theme is suggested by the passage?","","inference","unknown","","inference","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:7","8","b0596f88487c5754","Exploring Theme Development in Literature passage 3","CC.1.3.8.A","","unknown","MCQ","What theme is suggested by the passage?","","inference","unknown","","inference","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:8","8","bd09487f5bd7f8d6","Exploring Theme Development in Literature passage 4","CC.1.3.8.A","","unknown","MCQ","What is the central theme of the passage?","","plain_recall","unknown","","plain_recall","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","852f9e9d0f426ef9","archive-readable-v2-samples"
"852f9e9d0f426ef9:markdown:10","8","a6d5178bfb70e094","Exploring Theme Development in Literature passage 5","CC.1.3.8.A","","unknown","MCQ","What theme is suggested by the passage?","","inference","unknown","","inference","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","852f9e9d0f426ef9","archive-readable-v2-samples"
"b3800e9455ad83e5:guidedPractice:1","7","fa11e87f7f91bf60","Understanding Point of View in Narratives passage 1","CC.1.3.7.D","","unknown","MCQ","What is the point of view in the following passage?","","craft_structure","unknown","","craft_structure","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","b3800e9455ad83e5","archive-token-budget-json-samples"
"b3800e9455ad83e5:independentPractice:1","7","15370f4ad5efb332","Understanding Point of View in Narratives passage 4","CC.1.3.7.D","","unknown","MCQ","What is the point of view in this passage?","","craft_structure","unknown","","craft_structure","WARN","0.45","EC skill family could not be classified deterministically.","Human review needed.","b3800e9455ad83e5","archive-token-budget-json-samples"
