itemId,passageId,gradeLevel,eligibleContent,ruleId,result,severity,evidence,failedChoiceIndices,notes,lessonId,sourceId
"ded16ab08a23dc9a:markdown:1","63886f0f346e1995","3","CC.1.2.3.A","PSSA_MCQ_GENERIC_TEST_TAKING_LANGUAGE","FAIL","BLOCKER","\b(useful|supporting)\s+(evidence|detail)\b; \b(useful|supporting)\s+(evidence|detail)\b; \b(useful|supporting)\s+(evidence|detail)\b","[4,5,6]","Choice text contains passage-agnostic template language.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:1","63886f0f346e1995","3","CC.1.2.3.A","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:1","63886f0f346e1995","3","CC.1.2.3.A","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:4","e792f1aa7f169d31","3","CC.1.2.3.A","PSSA_MCQ_GENERIC_TEST_TAKING_LANGUAGE","FAIL","BLOCKER","\b(useful|supporting)\s+(evidence|detail)\b; \b(useful|supporting)\s+(evidence|detail)\b; \b(useful|supporting)\s+(evidence|detail)\b","[4,5,6]","Choice text contains passage-agnostic template language.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:4","e792f1aa7f169d31","3","CC.1.2.3.A","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:4","e792f1aa7f169d31","3","CC.1.2.3.A","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:8","d2ecc8a02e6d4343","3","CC.1.2.3.A","PSSA_MCQ_GENERIC_TEST_TAKING_LANGUAGE","FAIL","BLOCKER","\b(useful|supporting)\s+(evidence|detail)\b; \b(useful|supporting)\s+(evidence|detail)\b; \b(useful|supporting)\s+(evidence|detail)\b","[4,5,6]","Choice text contains passage-agnostic template language.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:8","d2ecc8a02e6d4343","3","CC.1.2.3.A","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:8","d2ecc8a02e6d4343","3","CC.1.2.3.A","PSSA_MCQ_DISTRACTOR_ROLE_REQUIRED","FAIL","BLOCKER","invalid distractorRole/isCorrect pairing","[0,2,3,4,5,6]","Distractors need a valid role; the correct choice must have distractorRole null.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:10","e792f1aa7f169d31","3","CC.1.2.3.A","PSSA_MCQ_GENERIC_TEST_TAKING_LANGUAGE","FAIL","BLOCKER","\b(useful|supporting)\s+(evidence|detail)\b; \b(useful|supporting)\s+(evidence|detail)\b; \b(useful|supporting)\s+(evidence|detail)\b","[4,5,6]","Choice text contains passage-agnostic template language.","ded16ab08a23dc9a","archive-readable-v2-samples"
"ded16ab08a23dc9a:markdown:10","e792f1aa7f169d31","3","CC.1.2.3.A","PSSA_MCQ_CHOICE_EVIDENCE_LINKS_REQUIRED","FAIL","BLOCKER","missing rationale/evidenceLinks","[0,1,2,3,4,5,6]","Each structured choice needs a rationale and at least one evidence link.","ded16ab08a23dc9a","archive-readable-v2-samples"
