lessonId,title,sourceId,sourceType,sourcePath,sourceRef,grade,state,subject,module,standardCode,skill,generatorVersion,reviewStatus,legacyStatus,practiceItems,mcqItems,teiItems,passageCount,blockerCount,warningCount,recommendation,notes
"ded16ab08a23dc9a","Understanding Main Ideas and Supporting Details","archive-readable-v2-samples","readable_v2_sample","audit/v2-samples-readable/sample-01-g3-main-idea-and-supporting-details.md","local-pssa-governance-and-tranche1-2026-05-31","3","PA","ELA","PSSA","CC.1.2.3.A","Main Idea and Supporting Details","V2","ARCHIVE_READABLE_SAMPLE","QUARANTINED","12","4","8","5","48","6","REAUTHOR_AGAINST_CANONICAL_CONTRACTS","Audit-only. This row is not an approval and must not be used to activate legacy lesson content."
"7878651d416222d9","Understanding Verb Tenses","archive-readable-v2-samples","readable_v2_sample","audit/v2-samples-readable/sample-02-g3-verb-tense.md","local-pssa-governance-and-tranche1-2026-05-31","3","PA","ELA","PSSA","CC.1.4.3.F","Verb Tense","V2","ARCHIVE_READABLE_SAMPLE","QUARANTINED","12","0","12","0","38","3","REAUTHOR_AGAINST_CANONICAL_CONTRACTS","Audit-only. This row is not an approval and must not be used to activate legacy lesson content."
"1bb97100669bfab1","Understanding Characters Through Actions and Words","archive-readable-v2-samples","readable_v2_sample","audit/v2-samples-readable/sample-03-g4-character-analysis.md","local-pssa-governance-and-tranche1-2026-05-31","4","PA","ELA","PSSA","CC.1.3.4.C","Character Analysis","V2","ARCHIVE_READABLE_SAMPLE","QUARANTINED","12","5","7","7","45","7","REAUTHOR_AGAINST_CANONICAL_CONTRACTS","Audit-only. This row is not an approval and must not be used to activate legacy lesson content."
"1f03bad1f47fc2d5","Mastering Transitions in Writing","archive-readable-v2-samples","readable_v2_sample","audit/v2-samples-readable/sample-04-g4-organizing-ideas-with-transitions.md","local-pssa-governance-and-tranche1-2026-05-31","4","PA","ELA","PSSA","CC.1.4.4.C","Organizing Ideas with Transitions","V2","ARCHIVE_READABLE_SAMPLE","QUARANTINED","12","0","12","4","46","4","REAUTHOR_AGAINST_CANONICAL_CONTRACTS","Audit-only. This row is not an approval and must not be used to activate legacy lesson content."
"36c9beda0ceb59c5","Understanding Vocabulary in Context","archive-readable-v2-samples","readable_v2_sample","audit/v2-samples-readable/sample-05-g5-vocabulary-in-context.md","local-pssa-governance-and-tranche1-2026-05-31","5","PA","ELA","PSSA","CC.1.2.5.F","Vocabulary in Context","V2","ARCHIVE_READABLE_SAMPLE","QUARANTINED","12","5","7","2","33","4","REAUTHOR_AGAINST_CANONICAL_CONTRACTS","Audit-only. This row is not an approval and must not be used to activate legacy lesson content."
"ef09174d99e615f9","Understanding Text Structure and Signal Words","archive-readable-v2-samples","readable_v2_sample","audit/v2-samples-readable/sample-06-g5-text-structure-and-signal-words.md","local-pssa-governance-and-tranche1-2026-05-31","5","PA","ELA","PSSA","CC.1.2.5.E","Text Structure and Signal Words","V2","ARCHIVE_READABLE_SAMPLE","QUARANTINED","12","4","8","4","64","10","REAUTHOR_AGAINST_CANONICAL_CONTRACTS","Audit-only. This row is not an approval and must not be used to activate legacy lesson content."
"33e15019de7f5340","Mastering Inference and Text Evidence","archive-readable-v2-samples","readable_v2_sample","audit/v2-samples-readable/sample-07-g6-inference-and-text-evidence.md","local-pssa-governance-and-tranche1-2026-05-31","6","PA","ELA","PSSA","CC.1.3.6.B","Inference and Text Evidence","V2","ARCHIVE_READABLE_SAMPLE","QUARANTINED","12","5","7","12","50","12","REAUTHOR_AGAINST_CANONICAL_CONTRACTS","Audit-only. This row is not an approval and must not be used to activate legacy lesson content."
"6a1f7a8b5369385e","Mastering Subject-Verb Agreement","archive-readable-v2-samples","readable_v2_sample","audit/v2-samples-readable/sample-08-g6-subject-verb-agreement.md","local-pssa-governance-and-tranche1-2026-05-31","6","PA","ELA","PSSA","CC.1.4.6.F","Subject-Verb Agreement","V2","ARCHIVE_READABLE_SAMPLE","QUARANTINED","12","0","12","0","38","3","REAUTHOR_AGAINST_CANONICAL_CONTRACTS","Audit-only. This row is not an approval and must not be used to activate legacy lesson content."
"e1a037b310877632","Mastering Evidence Selection","archive-readable-v2-samples","readable_v2_sample","audit/v2-samples-readable/sample-09-g7-evidence-selection.md","local-pssa-governance-and-tranche1-2026-05-31","7","PA","ELA","PSSA","CC.1.2.7.B","Evidence Selection","V2","ARCHIVE_READABLE_SAMPLE","QUARANTINED","12","0","12","9","43","5","REAUTHOR_AGAINST_CANONICAL_CONTRACTS","Audit-only. This row is not an approval and must not be used to activate legacy lesson content."
"852f9e9d0f426ef9","Exploring Theme Development in Literature","archive-readable-v2-samples","readable_v2_sample","audit/v2-samples-readable/sample-10-g8-theme-development.md","local-pssa-governance-and-tranche1-2026-05-31","8","PA","ELA","PSSA","CC.1.3.8.A","Theme Development","V2","ARCHIVE_READABLE_SAMPLE","QUARANTINED","12","5","7","5","56","8","REAUTHOR_AGAINST_CANONICAL_CONTRACTS","Audit-only. This row is not an approval and must not be used to activate legacy lesson content."
