itemId,interactionType,field,matchedSourceFile,longestNormalizedNgram,overlapScore,matchType,result
pssa_ms_g3_creek_01,MULTI_SELECT,stem,,,0,none,PASS
pssa_ms_g3_creek_01,MULTI_SELECT,instructionText,,,0,none,PASS
pssa_ms_g3_creek_01,MULTI_SELECT,choices.0,,,0,none,PASS
pssa_ms_g3_creek_01,MULTI_SELECT,choices.1,,,0,none,PASS
pssa_ms_g3_creek_01,MULTI_SELECT,choices.2,,,0,none,PASS
pssa_ms_g3_creek_01,MULTI_SELECT,choices.3,,,0,none,PASS
pssa_ms_g3_creek_01,MULTI_SELECT,assignedPassage.text,,,0,none,PASS
pssa_ms_g3_map_01,MULTI_SELECT,stem,,,0,none,PASS
pssa_ms_g3_map_01,MULTI_SELECT,instructionText,,,0,none,PASS
pssa_ms_g3_map_01,MULTI_SELECT,choices.0,,,0,none,PASS
pssa_ms_g3_map_01,MULTI_SELECT,choices.1,,,0,none,PASS
pssa_ms_g3_map_01,MULTI_SELECT,choices.2,,,0,none,PASS
pssa_ms_g3_map_01,MULTI_SELECT,choices.3,,,0,none,PASS
pssa_ms_g3_map_01,MULTI_SELECT,assignedPassage.text,reference/pssa-released-items/extracted/grade-6/tda-rubric-exemplars.json,the end of the,0.0132,content-bearing,PASS
pssa_ms_g3_lunch_01,MULTI_SELECT,stem,,,0,none,PASS
pssa_ms_g3_lunch_01,MULTI_SELECT,instructionText,,,0,none,PASS
pssa_ms_g3_lunch_01,MULTI_SELECT,choices.0,,,0,none,PASS
pssa_ms_g3_lunch_01,MULTI_SELECT,choices.1,,,0,none,PASS
pssa_ms_g3_lunch_01,MULTI_SELECT,choices.2,,,0,none,PASS
pssa_ms_g3_lunch_01,MULTI_SELECT,choices.3,,,0,none,PASS
pssa_ms_g3_lunch_01,MULTI_SELECT,assignedPassage.text,reference/pssa-released-items/extracted/grade-6/tda-rubric-exemplars.json,the end of the,0.0132,content-bearing,PASS
pssa_ms_g3_mural_01,MULTI_SELECT,stem,,,0,none,PASS
pssa_ms_g3_mural_01,MULTI_SELECT,instructionText,,,0,none,PASS
pssa_ms_g3_mural_01,MULTI_SELECT,choices.0,,,0,none,PASS
