passageId,gradeLevel,title,topicDomain,ruleId,result,severity,clusterId,score,evidence,notes
pssa_psg_g3_creek_watchers,3,The Night the Creek Glowed,science/nature,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.8837,concrete=just|sunset|maya|noticed|pale|green|shine|along|pine|creek|glow|bright|like|flashlight|looked|like|soft|line|paint|floating; generic=class|teacher|explained|look|class|wrote|class|question|place|compared|notes|chart|teacher|class|wrote|instead|asked|needed|careful|changes,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_the_map_in_the_station,3,A Map Under the Bench,history/social studies,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.9351,concrete=workers|lifted|wooden|bench|linden|station|found|folded|thin|square|dust|covered|front|blue|rail|lines|still|crossed|page|date; generic=paper|paper|showed|people|match|people|paper|perfect|showed|place,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_a_cooler_lunch_line,3,The Bell That Saved Lunch,school/community,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.8896,concrete=tuesday|room|knew|lunch|line|soup|cooled|bowls|students|searched|spoons|milk|cartons|crowded|counter|line|stopped|whenever|someone|step; generic=problem|asked|class|class|careful|class|paper|showed|wrote|chart|decided|check|useful|class|instead|solution|work|class,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_the_mural_plan,3,Blue Paint for Saturday,arts/culture,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.9686,concrete=carried|smallest|paint|wrist|still|purple|soccer|bruise|label|said|blue|inside|paint|looked|like|melted|berries|grandpa|laughed|face; generic=asked|people|move|asked|route,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_the_cart_that_would_not_turn,3,The Cart That Would Not Turn,everyday problem-solving,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.902,concrete=supply|cart|should|roll|guide|green|cart|room|students|pushed|toward|sink|front|wheel|wobbled|left|pulled|back|cart|scraped; generic=paper|problem|another|teacher|student|class|class|check|paper|time|instead|class|careful|saved|time,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g4_creek_watchers,4,Creek Watchers 4,science/nature,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2907,concrete=sixth-period|sounded|students|test|stream|water|heavy|rain|students|around|first|scattered|clear|measurements|noticed|nearby|plant|growth|helped|suggested; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g4_the_map_in_the_station,4,The Map in the Station 4,history/social studies,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2619,concrete=sixth-period|sounded|neighbors|preserve|transit|students|around|first|scattered|interviews|noticed|town|helped|suggested|possible|strongest|came|checked|during|different; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g4_a_cooler_lunch_line,4,A Cooler Lunch Line 4,school/community,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2706,concrete=sixth-period|sounded|students|redesign|crowded|lunch|routine|students|around|first|scattered|timed|noticed|responsibilities|helped|suggested|possible|strongest|came|checked; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g4_the_mural_plan,4,The Mural Plan 4,arts/culture,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2749,concrete=sixth-period|sounded|plans|hallway|mural|local|stories|students|around|first|scattered|sketch|revisions|noticed|symbols|helped|suggested|possible|strongest|came; generic=research|team|began|question|simple|class|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g4_the_cart_that_would_not_turn,4,The Cart That Would Not Turn 4,everyday problem-solving,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2722,concrete=sixth-period|sounded|improves|supply|cart|students|around|first|scattered|wheel|tests|noticed|practical|adjustments|helped|suggested|possible|strongest|came|checked; generic=research|team|began|question|simple|team|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g5_creek_watchers,5,Creek Watchers 5,science/nature,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2907,concrete=sixth-period|sounded|students|test|stream|water|heavy|rain|students|around|first|scattered|clear|measurements|noticed|nearby|plant|growth|helped|suggested; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g5_the_map_in_the_station,5,The Map in the Station 5,history/social studies,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2619,concrete=sixth-period|sounded|neighbors|preserve|transit|students|around|first|scattered|interviews|noticed|town|helped|suggested|possible|strongest|came|checked|during|different; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g5_a_cooler_lunch_line,5,A Cooler Lunch Line 5,school/community,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2706,concrete=sixth-period|sounded|students|redesign|crowded|lunch|routine|students|around|first|scattered|timed|noticed|responsibilities|helped|suggested|possible|strongest|came|checked; generic=research|team|began|question|simple|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart|route,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g5_the_mural_plan,5,The Mural Plan 5,arts/culture,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2749,concrete=sixth-period|sounded|plans|hallway|mural|local|stories|students|around|first|scattered|sketch|revisions|noticed|symbols|helped|suggested|possible|strongest|came; generic=research|team|began|question|simple|class|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
pssa_psg_g5_the_cart_that_would_not_turn,5,The Cart That Would Not Turn 5,everyday problem-solving,PSSA_PASSAGE_CONCRETENESS,FAIL,BLOCKER,,0.2722,concrete=sixth-period|sounded|improves|supply|cart|students|around|first|scattered|wheel|tests|noticed|practical|adjustments|helped|suggested|possible|strongest|came|checked; generic=research|team|began|question|simple|team|teacher|asked|avoid|guesses|collect|details|another|group|check|monday|afternoon|notebooks|shared|chart,Passage is dominated by generic process vocabulary and lacks enough concrete topic detail.
