sourceType,sourceId,licenseStatus,attribution,externalSourceUrl,notes
generated_diagnostic,generated-pssa-ela-grade-3,internal_original,Generated by lib/diagnosticGenerator.ts using internal PSSA-style blueprint logic.,,Sampler patterns are style references; exported passages and items are generated platform content.
generated_diagnostic,generated-pssa-ela-grade-4,internal_original,Generated by lib/diagnosticGenerator.ts using internal PSSA-style blueprint logic.,,Sampler patterns are style references; exported passages and items are generated platform content.
generated_diagnostic,generated-pssa-ela-grade-5,internal_original,Generated by lib/diagnosticGenerator.ts using internal PSSA-style blueprint logic.,,Sampler patterns are style references; exported passages and items are generated platform content.
generated_diagnostic,generated-pssa-ela-grade-6,internal_original,Generated by lib/diagnosticGenerator.ts using internal PSSA-style blueprint logic.,,Sampler patterns are style references; exported passages and items are generated platform content.
generated_diagnostic,generated-pssa-ela-grade-7,internal_original,Generated by lib/diagnosticGenerator.ts using internal PSSA-style blueprint logic.,,Sampler patterns are style references; exported passages and items are generated platform content.
generated_diagnostic,generated-pssa-ela-grade-8,internal_original,Generated by lib/diagnosticGenerator.ts using internal PSSA-style blueprint logic.,,Sampler patterns are style references; exported passages and items are generated platform content.
database_passage,cmonfruy60001dpdkkjd7nixo:informational,review_required,,,Verify source metadata before external sharing.
database_passage,cmonfruy60001dpdkkjd7nixo:literary,review_required,,,Verify source metadata before external sharing.
database_passage,cmonfruy60001dpdkkjd7nixo:paired,review_required,,,Verify source metadata before external sharing.
database_passage,cmonfruy60001dpdkkjd7nixo:table,review_required,,,Verify source metadata before external sharing.
database_passage,smoke-reading-buddy-grade-5:smoke-placeholder-passage,review_required,,,Verify source metadata before external sharing.
database_passage,cmowe890u00015ishc8zojkla:informational,review_required,,,Verify source metadata before external sharing.
database_passage,cmowe890u00015ishc8zojkla:literary,review_required,,,Verify source metadata before external sharing.
database_passage,cmowe890u00015ishc8zojkla:paired,review_required,,,Verify source metadata before external sharing.
database_passage,cmowe890u00015ishc8zojkla:table,review_required,,,Verify source metadata before external sharing.
database_passage,cmoweqxei00016zhzbmh0qi15:informational,review_required,,,Verify source metadata before external sharing.
database_passage,cmoweqxei00016zhzbmh0qi15:literary,review_required,,,Verify source metadata before external sharing.
database_passage,cmoweqxei00016zhzbmh0qi15:paired,review_required,,,Verify source metadata before external sharing.
database_passage,cmoweqxei00016zhzbmh0qi15:table,review_required,,,Verify source metadata before external sharing.
database_passage,cmowg7f310001pspnkxcg20vx:informational,review_required,,,Verify source metadata before external sharing.
database_passage,cmowg7f310001pspnkxcg20vx:literary,review_required,,,Verify source metadata before external sharing.
database_passage,cmowg7f310001pspnkxcg20vx:paired,review_required,,,Verify source metadata before external sharing.
database_passage,cmowg7f310001pspnkxcg20vx:table,review_required,,,Verify source metadata before external sharing.
database_passage,cmowzttjv0001twqwmmh5vw4h:informational,review_required,,,Verify source metadata before external sharing.
database_passage,cmowzttjv0001twqwmmh5vw4h:literary,review_required,,,Verify source metadata before external sharing.
database_passage,cmowzttjv0001twqwmmh5vw4h:paired,review_required,,,Verify source metadata before external sharing.
